feature_id,osm_id,osm_name,osm_ref,osm_fclass,entity_key,total_length_km,status,risk_level,current_high_cell_count,current_severe_cell_count,current_exposed_cell_count,current_exposed_length_km,24h_high_cell_count,24h_severe_cell_count,24h_exposed_cell_count,24h_exposed_length_km,48h_high_cell_count,48h_severe_cell_count,48h_exposed_cell_count,48h_exposed_length_km,72h_high_cell_count,72h_severe_cell_count,72h_exposed_cell_count,72h_exposed_length_km
OSM-ROAD-1254780510,1254780510,,NH510,primary,ref:nh510,2.169,HIGH RISK,HIGH,1,0,1,0.507,1,0,1,0.507,1,0,1,0.507,1,0,1,0.507
OSM-ROAD-1227348682,1227348682,,,unclassified,osm:1227348682:2804,0.067,HIGH RISK,HIGH,1,0,1,0.067,1,0,1,0.067,1,0,1,0.067,1,0,1,0.067
OSM-ROAD-1256998792,1256998792,,,footway,osm:1256998792:2805,0.163,HIGH RISK,HIGH,1,0,1,0.163,1,0,1,0.163,1,0,1,0.163,1,0,1,0.163
OSM-ROAD-1268118682,1268118682,,,service,osm:1268118682:2806,0.076,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-596065385,596065385,,,service,osm:596065385:2807,0.194,HIGH RISK,HIGH,1,0,1,0.194,1,0,1,0.194,1,0,1,0.194,1,0,1,0.194
OSM-ROAD-596066776,596066776,,,residential,osm:596066776:2808,0.104,HIGH RISK,HIGH,1,0,1,0.013,1,0,1,0.013,1,0,1,0.013,1,0,1,0.013
OSM-ROAD-594574244,594574244,,MDR,secondary,ref:mdr,7.507,HIGH RISK,HIGH,4,0,4,5.699,4,0,4,5.699,4,0,4,5.699,4,0,4,5.699
OSM-ROAD-1258565211,1258565211,,,unclassified,osm:1258565211:2810,0.206,HIGH RISK,HIGH,1,0,1,0.206,1,0,1,0.206,1,0,1,0.206,1,0,1,0.206
OSM-ROAD-1256662801,1256662801,,,unclassified,osm:1256662801:2811,0.173,HIGH RISK,HIGH,1,0,1,0.173,1,0,1,0.173,1,0,1,0.173,1,0,1,0.173
OSM-ROAD-596065384,596065384,,,secondary_link,osm:596065384:2812,0.023,HIGH RISK,HIGH,1,0,1,0.023,1,0,1,0.023,1,0,1,0.023,1,0,1,0.023
OSM-ROAD-1227173412,1227173412,,,secondary,osm:1227173412:2813,0.047,HIGH RISK,HIGH,2,0,2,0.047,2,0,2,0.047,2,0,2,0.047,2,0,2,0.047
OSM-ROAD-1261373495,1261373495,,,path,osm:1261373495:2814,0.08,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1271392408,1271392408,,,footway,osm:1271392408:2815,0.141,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-596066769,596066769,,,path,osm:596066769:2816,0.163,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1266945053,1266945053,,,footway,osm:1266945053:2817,0.018,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
